TEAM	Span		Mat	Inns NO	Runs	HS		Ave		BF		SR		100	50	0	4s		6s 		Player
NL		2006-2011	33	32	9	1541	119		67.00	1757	87.70	5	9	1	130		29 		RN ten Doeschate 
INDIA	2008-2019	239	230	39	11520	183		60.31	12359	93.21	43	54	12	1085	119		V Kohli 
PAK		2015-2019	74	72	10	3359	125 	54.17	3857	87.08	11	15	2	289		31 		Babar Azam 
PAK		2017-2019	37	37	5	1723	151		53.84	2141	80.47	7	6	2	135		15 		Imam-ul-Haq 
AUS		1994-2004	232	196	67	6912	108 	53.58	9320	74.16	6	46	5	450		21 		MG Bevan 
SA		2005-2018	228	218	39	9577	176		53.50	9473	101.09	25	53	7	840		204		AB de Villiers 
ENG		2013-2019	143	135	21	5856	133 	51.36	6702	87.37	16	33	4	475		43 		JE Root 
ENG		2009-2013	68	65	10	2819	137		51.25	3658	77.06	4	22	5	216		3 		IJL Trott 
INDIA	2004-2019	350	297	84	10773	183 	50.57	12303	87.56	10	73	10	826		229		MS Dhoni 
SA		2008-2019	181	178	14	8113	159		49.46	9178	88.39	27	39	4	822		53 		HM Amla 
NL		2010-2013	23	22	2	976		101		48.80	1391	70.16	1	8	0	82		4 		TLW Cooper 
INDIA	2007-2019	218	211	32	8686	264		48.52	9806	88.57	27	42	13	770		232		RG Sharma 
AUS		2004-2012	185	157	44	5442	109 	48.15	6243	87.16	3	39	3	383		80 		MEK Hussey 
NZ		2010-2019	149	142	14	6132	148		47.90	7494	81.82	13	39	5	559		49 		KS Williamson 
NZ		2006-2019	228	212	37	8376	181 	47.86	10091	83.00	20	50	9	694		140		LRPL Taylor 
ENG		2011-2019	74	68	8	2861	141 	47.68	2749	104.07	9	11	5	326		62 		JM Bairstow 
PAK		1974-1985	62	60	6	2572	123		47.62	3033	84.80	7	13	2	213 	22 		Zaheer Abbas 
SA		2011-2019	143	136	20	5507	185		47.47	6215	88.60	12	35	3	495		66 		F du Plessis 
WI		2016-2019	66	61	7	2556	170		47.33	3405	75.06	6	13	4	195		42 		SD Hope 
INDIA	2013-2019	55	50	14	1694	124 	47.05	2143	79.04	3	10	3	145		30 		AT Rayudu 
WI		1975-1991	187	167	24	6721	189 	47.00	7451	90.20	11	45	7	600 	126  	IVA Richards 
NZ		1973-1983	41	40	6	1598	171 	47.00	2348	68.05	3	9	1	156 	7  		GM Turner 
PAK		2017-2019	46	46	4	1958	210 	46.61	2056	95.23	4	13	5	228		32 		Fakhar Zaman 
PAK		2013-2019	41	40	5	1614	130		46.11	1895	85.17	2	13	1	129		24 		Haris Sohail 
AUS		2007-2013	31	28	9	870		112 	45.78	998		87.17	1	4	0	61		10 		AC Voges 
AUS		2009-2019	116	114	5	4990	179		45.77	5222	95.55	17	20	2	520		78 		DA Warner 
WI		1975-1991	128	127	13	5134	133 	45.03	7908	64.92	11	31	3	470 	81 		CG Greenidge 
SA		2013-2019	115	115	6	4907	178		45.01	5154	95.20	14	24	3	571		69 		Q de Kock 
INDIA	1989-2012	463	452	41	18426	200 	44.83	21367	86.23	49	96	20	2016	195		SR Tendulkar 
AUS		1984-1994	164	161	25	6068	145		44.61	8362	72.56	7	46	6	380 	64 		DM Jones 
AUS		2003-2015	245	223	44	7981	130		44.58	10104	78.98	8	58	10	665		53 		MJ Clarke 
INDIA	2010-2019	133	131	7	5518	143		44.50	5869	94.01	17	27	5	688		67 		S Dhawan 
SA		1996-2014	328	314	53	11579	139		44.36	15885	72.89	17	86	17	911		137		JH Kallis 
SCOT	2008-2019	56	54	2	2296	156		44.15	2646	86.77	4	16	5	296		33 		KJ Coetzer 
AUS		1993-2008	161	155	15	6133	181 	43.80	7767	78.96	10	36	9	636		87 		ML Hayden 
PAK		2002-2015	162	149	31	5122	96 		43.40	6945	73.75	0	42	6	342		83 		Misbah-ul-Haq 
INDIA	2014-2019	68	47	17	1289	120		42.96	1270	101.49	2	6	2	130		22 		KM Jadhav 
ENG		2015-2019	84	81	2	3381	180		42.79	3148	107.40	9	18	7	390		68 		JJ Roy 
SL		2008-2019	214	184	48	5812	139 	42.73	6974	83.33	3	40	15	459		89 		AD Mathews 
WI		2000-2013	181	169	33	5804	120 	42.67	7663	75.74	5	38	8	480		58 		RR Sarwan 
ENG		2011-2015	27	26	5	887		101		42.23	1107	80.12	1	7	2	69		12 		JWA Taylor 
SA		1999-2007	107	95	14	3421	125 	42.23	5047	67.78	4	26	4	334		16 		HH Dippenaar 
NZ		2009-2019	179	176	19	6626	237 	42.20	7586	87.34	16	35	15	678		168		MJ Guptill 
AUS		1995-2012	375	365	39	13704	164		42.03	17046	80.39	30	82	20	1231	162		RT Ponting 
AUS		2013-2019	40	39	2	1554	104		42.00	1848	84.09	2	12	2	150		13 		UT Khawaja 
SL		2000-2015	404	380	41	14234	169		41.98	18048	78.86	25	93	15	1385	88 		KC Sangakkara 
PAK		1998-2010	288	273	40	9720	141 	41.71	12942	75.10	15	64	15	785		90 		Mohammad Yousuf 
PAK		1975-1996	233	218	41	7381	119 	41.70	11014	67.01	8	50	8	445 	44 		Javed Miandad 
WI		1994-2011	268	251	40	8778	150		41.60	12408	70.74	11	59	6	722		85 		S Chanderpaul 
AUS		2009-2011	30	25	9	663		71 		41.43	777		85.32	0	5	0	64		0 		CJ Ferguson 
AUS		2010-2019	118	104	12	3810	164		41.41	4414	86.31	8	23	5	322		33 		SPD Smith 
PAK		2015-2019	53	39	16	952		63 		41.39	868		109.67	0	5	1	90		17 		Imad Wasim 
