Team	Span		Mat	Inns	NO	Runs	HS		Ave		BF		SR		100		50		0		4s		6s		Player
WI		2011-2019	56	47		9	1034	92*		27.21	794		130.22	0		4		6		94		57		AD Russell 
AUS		2012-2019	110	100		11	2877	102		32.32	2332	123.37	1		19		9		289		94		GJ Maxwell 
ENG		2012-2019	142	117		23	3843	150		40.88	3207	119.83	9		20		12		321		125		JC Buttler 
BMUDA	2006-2009	26	25		3	590		52		26.81	504		117.06	0		1		3		46		29		LOB Cann 
PAK		1996-2015	398	369		27	8064	124		23.57	6892	117.00	6		39		30		730		351		Shahid idi 
INDIA	2016-2019	54	38		6	957		83		29.90	828		115.57	0		4		3		69		40		HH Pandya 
AUSNZ	2008-2017	85	68		9	1397	170*	23.67	1220	114.50	1		4		7		149		43		L Ronchi 
INDIA	2008-2012	57	41		11	810		123*	27.00	713		113.60	2		3		7		62		43		YK Pathan 
PAK		2013-2017	25	25		0	812		152		32.48	716		113.40	1		6		2		104		28		Sharjeel Khan 
SL		2009-2019	161	128		16	2210	140		19.73	1979	111.67	1		10		11		165		83		NLTC Perera 
CAN		2008-2013	33	32		1	764		94		24.64	685		111.53	0		6		3		92		35		Rizwan Cheema 
PAK		2015-2019	53	39		16	952		63*		41.39	868		109.67	0		5		1		90		17		Imad Wasim 
NZ		2013-2017	49	45		5	1109	131*	27.72	1020	108.72	1		4		4		86		55		CJ Anderson 
ENG		2015-2019	84	81		2	3381	180		42.79	3148	107.40	9		18		7		390		68		JJ Roy 
NZ		2012-2019	38	29		6	633		74*		27.52	590		107.28	0		3		2		47		26		C de Grandhomme 
WI		2017-2019	37	34		3	1199	127		38.67	1120	107.05	4		4		1		90		42		SO Hetmyer 
ZIM		1999-2010	54	41		8	626		63*		18.96	589		106.28	0		5		3		62		13		AM Blignaut 
NZ		1974-1985	78	65		6	987		60		16.72	941		104.88	0		2		6		70+		41+		BL Cairns 
NZ		2013-2019	57	53		2	1271	87		24.92	1214	104.69	0		8		7		138		36		C Munro 
INDIA	1999-2013	251	245		9	8273	219		35.05	7929	104.33	15		38		14		1132	136		V Sehwag 
AUS		2013-2017	69	52		22	1032	116		34.40	990		104.24	1		4		4		83		29		JP Faulkner 
CAN		2003-2011	32	32		2	799		111		26.63	767		104.17	1		5		5		93		20		JM Davison 
ENG		2011-2019	74	68		8	2861	141*	47.68	2749	104.07	9		11		5		326		62		JM Bairstow 
ENG		2014-2019	101	82		13	1766	128		25.59	1697	104.06	3		5		5		154		60		MM Ali 
ENG		2005-2019	89	50		19	646		56		20.83	629		102.70	0		1		3		53		18		LE Plunkett 
ENG		2009-2019	99	43		12	588		69		18.96	574		102.43	0		1		4		64		7		AU Rashid 
INDIA	2014-2019	68	47		17	1289	120		42.96	1270	101.49	2		6		2		130		22		KM Jadhav 
AFG		2015-2019	68	53		9	903		60*		20.52	892		101.23	0		4		4		81		28		Rashid Khan 
SA		2005-2018	228	218		39	9577	176		53.50	9473	101.09	25		53		7		840		204		AB de Villiers 
SA		2004-2012	58	43		10	782		97		23.69	780		100.25	0		2		1		71		25		JA Morkel 
SA		2010-2019	126	110		31	3058	139		38.70	3054	100.13	5		12		8		227		83		DA Miller 
WI		2004-2015	126	105		30	1871	89		24.94	1870	100.05	0		9		4		145		84		DJG Sammy 
NZ		1980-1992	98	77		16	1055	62*		17.29	1061	99.43	0		3		7		93+		10+		IDS Smith 
NZ		2013-2019	59	50		10	1247	97*		31.17	1260	98.96	0		6		2		113		28		JDS Neesham 
BDESH	2014-2019	55	54		3	1728	127*	33.88	1753	98.57	2		11		5		200		42		Soumya Sarkar 
NZ		2008-2019	140	85		32	676		55		12.75	686		98.54	0		1		12		53		26		TG Southee 
SL		2015-2019	27	24		1	516		66		22.43	525		98.28	0		3		1		39		13		TAM Siriwardana 
SA		2013-2018	59	49		14	1074	70		30.68	1097	97.90	0		6		4		79		25		F Behardien 
WI		2016-2019	54	40		14	502		44		19.30	513		97.85	0		0		2		44		12		AR Nurse 
AUS		2017-2019	22	20		1	632		117		33.26	649		97.38	1		4		2		46		6		PSP Handscomb 
AUS		1996-2008	287	279		11	9619	172		35.89	9922	96.94	16		55		19		1162	149		AC Gilchrist 
WI		1999-2005	109	100		16	2085	124		24.82	2157	96.66	1		8		8		185		75		RL Powell 
NZ		2002-2016	260	228		28	6083	166		30.41	6312	96.37	5		32		20		577		200		BB McCullum 
AUS		2005-2015	153	91		32	951		73*		16.11	987		96.35	0		2		6		81		23		MG Johnson 
ENG		2014-2019	70	67		3	2419	171		37.79	2527	95.72	6		14		5		276		50		AD Hales 
AUS		2009-2019	116	114		5	4990	179		45.77	5222	95.55	17		20		2		520		78		DA Warner 
AUS		1995-2001	45	35		8	477		47		17.66	500		95.40	0		0		3		31		7		S Lee 
NZ		2008-2014	48	42		1	1362	107		33.21	1429	95.31	3		6		5		152		38		JD Ryder 
PAK		2017-2019	46	46		4	1958	210*	46.61	2056	95.23	4		13		5		228		32		Fakhar Zaman 
SA		2013-2019	115	115		6	4907	178		45.01	5154	95.20	14		24		3		571		69		Q de Kock 
INDIA	1978-1994	225	198		39	3783	175*	23.79	3979	95.07	1		14		13		291+	67+		N Kapil Dev 
IRE		2006-2013	67	53		15	743		45*		19.55	785		94.64	0		0		3		48		23		DT Johnston 
SA		2014-2016	36	35		3	1239	132		38.71	1313	94.36	3		7		5		131		22		RR Rossouw 
WI		2013-2019	107	86		18	1771	99*		26.04	1877	94.35	0		9		9		126		57		JO Holder 
INDIA	2010-2019	133	131		7	5518	143		44.50	5869	94.01	17		27		5		688		67		S Dhawan 
ENG		2011-2019	95	81		15	2682	102*	40.63	2855	93.94	3		20		5		217		75		BA Stokes 
AUS		2005-2010	84	61		8	1326	63*		25.01	1415	93.71	0		3		1		123		6		JR Hopes 
SL		2014-2019	52	49		1	1571	116		32.72	1679	93.56	2		9		1		182		12		N Dickwella 
INDIA	2005-2018	226	194		35	5615	116*	35.31	6005	93.50	5		36		14		476		120		SK Raina 
ENG		2008-2013	36	22		7	482		70*		32.13	517		93.23	0		1		1		37		12		SR Patel 
INDIA	2008-2019	239	230		39	11520	183		60.31	12359	93.21	43		54		12		1085	119		V Kohli 
AUS		2011-2018	53	49		9	1428	102*	35.70	1534	93.08	1		11		4		120		37		MR Marsh 
SL		2013-2019	98	93		5	2739	135		31.12	2945	93.00	5		14		8		303		49		MDKJ Perera 
WI		2007-2016	101	95		6	2289	119		25.71	2464	92.89	3		9		12		145		110		KA Pollard 
WI		2004-2015	105	89		5	1560	97		18.57	1683	92.69	0		8		14		142		64		DR Smith 
AUS		1998-2009	198	161		33	5088	156		39.75	5504	92.44	6		30		15		449		103		A Symonds 
AUS		2018-2019	29	26		6	804		85		40.20	874		91.99	0		4		1		86		5		AT Carey 
AUS		2015-2019	41	38		7	1050	146*	33.87	1143	91.86	1		6		3		89		36		MP Stoinis 
SCOT	2012-2019	28	24		1	482		58		20.95	527		91.46	0		4		1		38		10		CD Wallace 
ENGIRE	2006-2019	233	217		32	7348	148		39.71	8053	91.24	13		46		15		612		211		EJG Morgan 
BDESH	2014-2019	66	59		7	1333	102		25.63	1461	91.23	1		6		5		153		24		Sabbir Rahman 
SL		1989-2011	445	433		18	13430	189		32.36	14725	91.20	28		68		34		1500	270		ST Jayasuriya 
WI		2011-2019	44	37		3	559		101		16.44	614		91.04	1		1		2		38		24		CR Brathwaite 
AUS		2008-2013	69	61		6	1796	111		32.65	1980	90.70	1		14		4		130		30		DJ Hussey 
INDIA	2006-2015	46	42		6	934		86		25.94	1031	90.59	0		6		4		107		19		RV Uthappa 
